grid_id,researchers,date,time_start,time_finish,time_of_transect,duration,time_recorded_wildlife,grid_line,grid_line_detected,grid_line_direction,x_transect,y_transect,x_mid,y_mid,x_species,y_species,habitat_type,species_detected,scientific_name,wildlife_size,bearing_to_wildlife,distance_to_wildlife,bearing_to_line,distance_perpendicular,province,notes
06,"Dong Phirun, Him Yul and Khorn Doeurn ",2023-01-23,13:00,16:21,PM,3:21,NA,C ,NA,south,570052,1441901,569552,1441401,NA,NA,Semi-evergreen,NA,NA,NA,NA,NA,NA,NA,Kratie,No wildlife
06,"Dong Phirun, Him Yul and Khorn Doeurn ",2023-01-23,13:00,16:21,PM,3:21,NA,B ,NA,east,569052,1441901,569552,1441401,NA,NA,DDF,NA,NA,NA,NA,NA,NA,NA,Kratie,No wildlife
06,"Dong Phirun, Him Yul and Khorn Doeurn ",2023-01-23,13:00,16:21,PM,3:21,15:38,A ,B - A,south,NA,NA,569552,1441401,569043,1440999,DDF,Great Hornbill,Buceros bicornis,2,30,27,180,13.50000000000000000000,Kratie,
06,"Dong Phirun, Him Yul and Khorn Doeurn ",2023-01-23,6:00,11:44,AM,5:44,7:20,B,B - C,east,NA,NA,569552,1441401,569100,1441900,Semi-evergreen,Great Hornbill,Buceros bicornis,2,360,96,90,0.00000000000002351322,Kratie,
07,"Hul Bora, Him Yul and Chhay Lay",2023-01-22,6:00,11:31,AM,5:31,6:20,A ,A​​ - B,north,NA,NA,572552,1442401,572041,1442086,Evergreen,Green Peafowl,Pavo muticus,1,40,50,360,32.13938048432700000000,Kratie,
07,"Hul Bora, Him Yul and Chhay Lay",2023-01-22,6:00,11:31,AM,5:31,6:30,A ,A​​ - B,north,NA,NA,572552,1442401,572039,1442141,Evergreen,Great Hornbill,Buceros bicornis,1,180,32,360,0.00000000000000391887,Kratie,
07,"Hul Bora, Him Yul and Chhay Lay",2023-01-22,6:00,11:31,AM,5:31,6:55,A ,A​​ - B,north,NA,NA,572552,1442401,572054,1442267,Evergreen,Pileated gibbon,Hylobates pileatus,2,320,34,360,21.85477872934230000000,Kratie,
07,"Hul Bora, Him Yul and Chhay Lay",2023-01-22,6:00,11:31,AM,5:31,7:05,A ,A​​ - B,north,NA,NA,572552,1442401,572070,1442347,Evergreen,Great Hornbill,Buceros bicornis,2,80,63,360,62.04288843976910000000,Kratie,
07,"Hul Bora, Him Yul and Chhay Lay",2023-01-22,6:00,11:31,AM,5:31,7:14,A ,A​​ - B,north,NA,NA,572552,1442401,572081,1442478,Evergreen,Long-tailed macaque,Macaca fascicularis,3,90,42,360,42.00000000000000000000,Kratie,
07,"Hul Bora, Him Yul and Chhay Lay",2023-01-22,6:00,11:31,AM,5:31,NA,A ,NA,north,572052,1441901,572552,1442401,NA,NA,Evergreen,NA,NA,NA,NA,NA,NA,NA,Kratie,No wildlife
